avg. reported cases,avg.deaths per year,target_deathrate,incidence rate,Avg. income,poverty percent,male age,female age,percent married
1214,406,158.6,479.1,54141,12,35.7,37.9,51.4
71,33,166.4,385.7,50998,10.5,45.1,44.9,59
103,50,190.1,399.2,41810,16.5,50.6,51.4,59
238,79,157.9,474.1,68430,5.9,38.4,39.8,62
356,123,160.1,482.4,52485,10.7,39.1,42,55.6
184,70,157.6,455.2,45316,16,36.4,38.4,58.2
323,123,176.6,476.1,59020,8.8,41.3,42.7,54.9
109,43,176.4,466.4,43562,14.7,44.2,47.1,52.3
2015,707,153.8,430.7,61937,13.4,33.7,35.6,47.5
463,201,178.9,437.3,54359,9.9,40.4,43.7,51.1
208,77,158.7,449.3,49717,11,50.2,53.2,62.6
187,104,192.8,354.7,46475,13.9,39.8,41.3,47.6
177,72,155.6,396.1,52224,13.9,33.4,35,47.6
454,177,163.4,440.9,48102,14.4,33,34.7,46.4
23,13,171.9,308.2,44562,12.8,50.8,51.3,59.9
579,206,159.4,477,52149,9.9,40.1,41.8,54.8
68,25,166.4,490.6,41418,17,44.4,46.4,52.8
257,108,166.9,428.2,46972,15,33.2,39.7,48.6
187,74,158.4,420,53328,8.7,41.3,43.2,56.7
89,32,152.3,447.2,61802,8.2,36.3,40.7,58.1
29,15,169.9,356.1,40351,16,45.2,47.8,56.5
20,10,187.4,400.6,43883,12.1,47.7,50.5,61
16,10,138.2,221.5,55955,9.2,36.8,41.4,62.7
40,13,120.2,432.5,49517,10.7,47.6,50.9,67
30,14,215,453.6,41344,34,27.5,30.3,40.9
24,12,156.3,350.1,44726,12.3,44.2,46.6,64.2
104,39,159.2,431.4,69191,7.4,40.1,42.4,63.5
39,15,142.1,392,53290,13.6,27.2,32.2,53.9
31,12,162.7,495.5,40979,12.7,45.5,49,57.2
72,33,164.7,389.2,51335,10.6,38.2,43.6,56.5
1962.667684,62,211,453.5494221,46840,13.2,37.1,40.8,51.6
1962.667684,3120,167.7,453.5494221,51241,15.6,35.9,37,44.6
1962.667684,108,145.2,453.5494221,60322,10.3,48.7,50,58.9
1962.667684,55,143.2,453.5494221,72648,10.8,32.9,34.1,56.6
1962.667684,4,262.1,453.5494221,47180,14,43,47.5,44.3
1962.667684,4,178.7,453.5494221,70535,9.8,44.9,42.6,64.7
1962.667684,27,191.5,453.5494221,67423,10.7,34.9,35.4,51.6
1962.667684,7,123.8,453.5494221,74347,11,36.4,37.6,54.3
1962.667684,9,127.4,453.5494221,45629,15.1,37.3,38.1,56.8
1962.667684,124,195.7,453.5494221,48576,13.7,43.1,43.4,51.1
1962.667684,20,254.3,453.5494221,40714,19,48,49.2,41.8
1962.667684,154,213.5,453.5494221,42881,16.8,50.8,50.8,54.4
1962.667684,9,121.8,453.5494221,52001,18.5,39.5,44.1,44.8
1962.667684,7,132.6,453.5494221,55291,8.4,54,55.6,53.5
1962.667684,727,166,453.5494221,52862,15.4,36.8,38.4,47
1962.667684,23,188.4,453.5494221,57243,13.7,38.4,40.3,44.8
1962.667684,145,193.5,453.5494221,45639,19.3,41.2,44.4,45.1
411,151,182.6,508.6,59831,10,45.3,46.8,54.2
360,133,168.8,481.8,57556,10.7,49.3,51,59.4
452,156,162.8,489.4,56008,11.8,41.4,42.5,48.4
223,93,181.6,459.2,42491,14.9,46.7,49.5,51.5
487,178,155,435.5,56353,11.6,40.5,43.1,48.5
2075,694,163.2,482.2,71233,8.7,39.2,41.1,51.4
879,309,173.1,507.6,62429,9.5,41.4,43.7,51.5
1758,570,172.2,518.8,79653,6.1,42.6,44.3,56.8
643,227,177.6,502.6,58577,11.8,36.1,38.3,46.8
273,102,171.9,475.7,57142,10.4,44.4,46.3,50.9
1624,584,179.5,505.5,54208,15.1,38.9,42,45.1
5164,1722,147.3,468.1,84309,7.6,40,42.9,54.2
2768,914,171.6,531.8,80479,7.2,39.2,42.6,50.8
2963,1039,182.8,530.9,61685,13,36.6,40.1,44.7
847,314,193.1,559.1,55409,13,46.7,49.9,53.4
847,317,189.6,511.3,45438,19.5,35.6,38.8,39.6
3553,1272,161.8,450.6,54603,16.7,35.4,38.4,39.1
1691,602,193.5,544.2,78983,8.2,38.2,40.8,51.7
2353,876,152.6,399.5,57720,17.7,33.8,35.6,41.5
731,210,145.1,496.3,103876,4.7,43.5,46.1,57.7
1997,648,160.3,504.7,73750,11.8,36.9,39.9,47.2
3980,1357,156.7,466.7,77330,8.3,36.6,38.9,51.6
3887,1269,168.6,529.6,87220,8.2,40.9,43.6,53.2
2795,884,150.3,488.5,100511,5,40.8,43.3,56.7
4355,1607,174.2,524.9,62937,11.9,40.4,45.1,53.6
2305,827,159.1,448.4,58030,18.2,35.1,37.9,44.3
415,164,194.8,516.6,56645,13.1,40.2,42.8,48.7
1673,549,153.3,471,100194,5,39.6,42,56.6
822,281,176.4,493.1,82048,6.2,42.5,44.2,55.9
2663,909,155.6,463,68172,11.1,36.5,39.5,46.5
623,227,175.1,485.9,71294,8.3,41.4,43.7,54.5
2820,1031,147.1,404.1,47192,18.7,35.2,37.9,43.7
28,10,164.7,375.5,33256,22.2,55.5,58.7,49.4
272,123,164.5,375.8,38403,23.4,32.9,36.7,48.1
109,42,146.5,375.5,35081,28.8,35.2,37.8,38.1
76,30,139.9,377.4,37156,20.5,46.9,48.4,48.3
153,66,143.8,336.5,42620,19.2,29.3,32.9,48.7
14,8,243.6,467.1,33789,20.6,51.2,45.9,27.6
799,319,150.8,381,38974,27.9,31.1,34,46.2
239,107,170.8,391.3,57007,14.1,35.3,37.7,50.3
166,76,159.4,366.5,38221,19.1,44.6,48.1,45.8
21,8,142.8,361.2,29147,25.8,40.9,41.9,33.7
22,11,166.3,357,34304,24.5,40.6,42.4,46.1
214,99,166.2,357.1,58994,16.6,31.5,32.2,53.3
117,41,123.4,363.9,39995,20.1,48.4,51.1,52.2
94,27,114.5,406.2,108477,4.2,41.8,45.1,65.5
144,64,181.8,420.6,27268,30.6,38.3,39.2,47.1
205,82,137.7,332.9,29497,35.8,29,32.3,33.5
25,10,134.3,359,27627,24.2,44,42.6,41.2
286,122,161.1,393,41736,20.2,33.1,37.9,49.1
56,27,190.6,412.7,29069,23.9,43.7,48.2,45
164,71,155.5,351.8,34902,24.1,39.6,40.6,41.9
68,32,163.5,360.7,36108,24,28,30.8,45.1
564,188,135.7,395.4,56142,12.6,37.6,40.1,49.7
435,166,136.7,356.1,47520,21,33.1,35.2,46.6
125,57,158.2,355.6,32964,25.5,42.1,42.9,33
691,231,126.1,374.3,52628,14.2,42.7,46.2,47.6
100,47,190.3,424.2,29036,23.8,54.7,56.5,47.9
84,34,167.8,404.4,32285,31,33.9,42.8,28.5
154,62,135.2,339,36125,19.2,46.1,48.5,42.4
108,32,164.3,558.5,37311,27.6,43.1,43.5,49.1
18,9,151.6,303,36684,19.4,38.2,45.2,44.5
334,133,163.1,402.3,40591,24.5,36.9,40,49.2
1775,637,176.1,505.9,60371,13.5,36.4,39.6,40.8
282,105,177.2,490.7,42655,18.3,36.8,39.7,47.6
5834,2059,162,455.3,33687,31.5,30.9,35.2,31
1235,442,163.6,494.4,46283,17.2,37.8,42,43.8
515,171,167.9,517.8,43892,16.2,40.6,42.1,48.7
465,163,158.6,470.8,52792,12.7,41.2,44,46.8
950,315,173.2,550.1,41757,19.3,40.2,43.1,47
559,214,183.8,508.2,48880,18.2,39.6,42.3,48.3
337,121,180.3,512.4,46387,16.7,42.6,45,50.2
335,155,194.2,437.1,34842,20.5,43.6,47.5,52
12,5,111.3,327,38636,14.6,60.2,58.2,63.1
205,88,200.6,460.2,64350,10.2,43.4,46,58.1
410,159,149,423,75926,7.9,43.4,46.7,58.3
38,18,180.3,383.4,46331,14.8,42.8,48.4,53.7
108,41,195.7,491.5,76206,7.5,36.3,37.3,56.6
90,32,187.4,514.8,64305,8.8,40,41.5,58.5
101,48,190.6,446.8,45827,13.7,53.4,57.2,51.4
107,73,224.2,330.5,31429,26.6,40.3,46.2,49.8
862,283,136.5,364.9,122641,3.9,34.9,35.6,61.2
183,77,191,456.9,60121,11.5,42.8,44.4,55.1
70,33,189.8,404.1,37548,22.4,43.2,46.6,45.7
84,31,169.8,463.3,52513,12.3,44.3,45.2,52.2
72,27,157.1,444.9,58268,10.6,50.8,51.3,63.6
216,109,213.7,445.1,38500,21.1,45.2,49.3,44.4
100,43,206.9,525.6,48921,14.4,51,53.7,54.4
309,120,153.3,396.2,43484,24.8,26.2,29.6,39.1
120,44,194.3,526.7,48076,13.4,45.7,49.4,50
94,39,201.4,454.3,72406,6.2,41.9,44.5,60.6
103,48,227.1,527.2,36822,21.5,45.2,50.5,46.4
107,49,190.5,450.4,51422,14.3,54.8,55.7,61
106,44,201.5,508,37996,24.3,41,43.9,42.7
225,82,177.3,503.5,59282,10.7,41,44,54.7
137,65,199.2,430.1,44851,16.9,43.5,44.9,53.1
97,52,178.3,339.1,34885,21.9,46.1,50,53.5
346,156,176.8,399,44207,14.6,44.2,46.7,53.5
145,52,175.1,459.6,75539,7.1,42.4,44.9,57.5
99,48,188.8,410.4,37543,25.5,29,34.5,36.1
155,59,172.1,437,61792,10.5,36,38.3,49.7
1142,407,150.1,373.7,91886,7.2,33.3,34.7,55
189,91,185.8,390.6,46186,14.7,43.9,47.1,53.5
44,17,149.6,401.1,62800,9.3,48.9,49.2,63.9
57,22,176.2,452.4,42204,19.7,40.8,50.3,46.6
493,204,155.9,400.5,61935,8.2,42.3,45,55.7
115,58,159.2,338,48497,13,47.1,49.2,55
378,157,156.1,400.2,55798,11.7,40.6,42.3,57
137,81,212,365.4,37378,17.9,43,44.8,54
110,69,196.1,330.8,36290,20.8,44.4,47,57.6
235,104,171.4,407.6,45430,12,42.3,45.1,55.6
171,92,202.4,389.1,37831,19.7,42.8,46.1,51.7
97,43,181.8,405.7,46521,15.3,45.7,45.2,48.3
518,191,172.5,449.4,75714,9.2,35.7,37.8,56
460,160,175.6,450.5,92647,5.9,33.5,35.9,57.4
40,17,182.2,426.5,48707,12.9,47.1,47.8,53.2
72,30,208.4,486.9,37748,23.9,35.9,47.3,32
224,127,208.1,376.4,38292,19.2,40.8,46.1,53.9
178,84,202.5,428.2,60714,11.3,39,41.5,51.2
312,136,176.7,420.8,43353,14.5,43.2,46.1,53.9
121,49,179.9,450.9,48232,15,45.2,48.6,47.6
176,106,223.4,367.3,38528,21.9,37.8,41.5,47.5
171,71,175.9,433.5,41132,15.6,42,45.5,53.7
272,103,152.3,389.3,81169,5.5,37.4,40.8,61.5
405,165,135.4,317.6,86419,9.6,35.9,36.2,44.1
64,58,226.6,265.7,34099,21.8,39.7,43.7,46.2
46,19,240.8,578.2,38331,17.2,33.6,34.3,48.1
250,60,178.2,718.9,45890,25.9,29.3,30.3,30.1
995,378,182.2,458.3,66625,9.8,35,38.2,52.5
117,43,159.3,493.6,52355,11.5,37.7,43.5,47.4
320,130,207.4,539,33646,23.6,38.3,44.5,38.7
55,16,137.6,447.7,125635,3.2,37.1,38.6,55.3
51,25,221.7,468,38583,22.5,35.2,40.3,34.9
120,39,180.3,566.3,51195,16.8,29.5,29.3,33.7
709,270,190.3,491.9,47615,15.2,33.3,38,41
190,51,150.5,591.1,38541,28.3,24.5,22.8,28.7
139,65,244.9,547.6,40122,19.5,34.9,38.1,35.3
391,165,194.5,495,40065,25,27,30.4,35.6
108,41,155.2,364.1,72510,9.8,32.2,34.1,53.3
773,321,191.9,457.2,48440,16.7,31.2,34.4,41.1
985,393,193.6,480.5,42567,23.4,28.4,32.4,34.1
22,9,197.3,461,31620,21.6,44.3,37,43.1
249,88,224.4,651.3,32749,25.8,37.3,41.1,29.5
67,24,159.2,441.3,84213,5.9,42.8,45.2,60.3
489,229,218.1,473.2,43045,18.3,32.9,36.7,37.8
51,21,193.1,463.1,34267,32.4,22.4,22.3,25.3
948,406,200.2,475.4,42074,25,32.2,33.7,26.2
576,235,201.2,512.4,40735,20.4,36,40.1,38.7
162,63,186.6,511.5,54195,10.2,40.1,40.9,47.3
181,64,176.1,537.9,42552,16.5,41.4,42.9,43.6
406,169,199.3,472,60735,13.6,36.6,39.4,50.4
1825,688,168.1,435.6,67676,8.6,33.5,37,50.1
157,58,210.5,596.9,44843,14.6,37.4,40.6,47.9
135,23,162.1,1014.2,46954,20.1,25.6,23.6,26.2
117,59,192.8,401.9,44537,13.4,35.3,39.7,41.3
54,21,135.7,340.3,47423,19,28.3,29.9,56.9
112,60,188.3,371.3,44055,16.3,43.6,44.9,52.7
814,296,163.9,452.4,58750,14.6,34.7,36.1,53.5
399,144,154.7,451.5,49174,14,37.7,41.2,52.3
575,235,181.3,480.2,47185,16.2,47.8,52.1,50.5
1859,771,178.2,427.4,61747,9.9,36.6,38.3,52.7
30,14,194.4,476.2,45465,15.5,47.7,50.9,52.4
571,240,184.1,455.5,44235,20.6,40.5,42.2,51.1
194,70,157.4,449.9,51151,15.5,36.1,38.3,58.1
41,19,161.1,358.2,39992,22.4,46.8,49.5,48.2
230,86,163.5,420.9,55006,17.3,29.5,28.8,49.2
11,4,115,293.6,46404,14.2,50.4,47.7,61.9
362,149,173.1,417.9,50388,15.8,32,32.4,52.3
489,189,194.6,518.4,43205,19.6,40.8,44.6,47.5
505,165,143.5,462,59358,10.3,41.5,47,59.1
273,91,154.9,480.9,50964,14.1,54.3,56.8,53.7
8999,2939,152.7,464.2,75738,11.3,36.4,38,49.5
187,79,170.7,414.6,38989,19.9,38.5,40,45
211,94,203.8,464.3,34655,24.5,46.1,46.8,51.6
286,125,149.1,345.3,60650,10,38.7,40.5,54.7
88,40,178.6,416.1,41101,16.5,48.8,49.7,55.1
204,101,178.5,393.1,43338,14.8,45.3,47.4,54
136,70,172.2,358.9,45174,14.4,45,47.5,54
523,229,178.6,413.5,57088,9.8,39.6,42.6,52.1
211,76,168,489.1,50191,11.6,42.7,45.7,57.5
2484,940,192.1,514.3,41787,21.5,38,41.1,44.6
195,83,196.5,475.7,39721,18.5,47.9,49.9,57.2
84,55,195.2,324.9,33600,20.9,45.1,51.3,46
551,168,151.8,521.2,55592,9.7,40.2,43.6,52
219,86,168.3,447.1,43509,18.5,37.4,41.5,47.1
230,111,187.5,396.3,44780,16.6,41.5,42.5,54
153,67,155.4,373.8,39126,18.7,28.8,38,44.3
228,100,181.6,448.5,41678,14.1,46.6,49.2,55.7
1352,435,165.5,514.9,45840,20.1,30.6,32.7,38.8
275,110,173,417.8,48681,15.2,37.3,38.7,50
186,93,193.4,406.2,37122,19,51.6,52.5,52.2
72,41,167.6,344.3,35961,17.3,52.6,54.3,51.2
260,105,180.1,446.7,42431,28.3,26.3,26.1,34.9
883,372,193.8,473.5,46670,15.4,39,42,48
1199,454,171,464.2,46283,18.9,32.6,35.5,44.3
103,45,200.7,469.6,40709,17.4,43.4,45.4,54.4
2809,965,160.2,473.3,53342,15.3,33.9,35.8,49.2
12,5,113.5,337.6,40411,12.7,53.2,55.4,55.6
78,42,213.1,395.3,30990,29.2,51.6,51.3,46.6
492,189,186.7,484.6,51510,11.1,42.6,44,57.1
138,54,132.5,372.9,60622,8.9,51.3,53.3,61.4
512,217,177.6,425.8,48194,14.5,39,42.8,50
855,316,162.7,433.5,74341,6.1,41.2,42.9,58.9
33,16,175.3,366,37590,20.6,42,48.1,45.9
75,31,160.3,422.5,39359,15.4,50,51.7,54.2
4974,1809,177.8,506.5,54865,12.3,39.4,42.1,49.5
186,72,180,494.9,37477,16.6,45.8,51,51.1
343,141,168.7,430.4,44735,15.4,38.4,39.9,46.4
144,82,190.2,350.2,42896,16.3,44.5,46.9,54.9
222,89,177.2,448.5,41572,23,33.5,37.7,44.2
108,70,185,310.1,42191,14.5,46,48.7,52.9
436,160,154.4,438.7,51629,11.9,39.7,42.4,57.2
84,39,190.2,417.3,40455,16.1,41.7,44.3,56.8
652,325,182.8,371,57719,10.4,41,42.6,54.1
348,137,184.5,475.3,41554,20.4,39.2,41,51.3
88,37,207.6,484.4,37961,15.7,54.3,54.9,51.5
975,379,189.2,499,42588,20,38.1,40.4,47.4
236,120,197,393.2,41588,21,41.5,43.3,55.8
6825,2231,159.6,495.7,69378,10,39.4,42.1,52.4
128,54,153.3,370.2,41166,20.1,41.2,43.8,57.1
134,62,177,402.9,35968,21.4,48.5,49.8,54.7
49,22,171.1,396,35387,17.8,55.5,55.6,57
165,60,193.7,541.3,40235,20.4,41.5,43.9,51.1
59,30,199.5,404.3,33975,20.5,50.8,51.9,55.7
145,64,194.7,457,44693,13.2,43.6,44.9,56.8
1060,384,142.2,404.1,60577,9.1,33.9,35.7,56.6
99,44,171.8,414.7,39420,16.1,52.8,53.5,59.6
228,97,201.8,496.9,35002,20.7,53.9,54.8,53.8
1160,439,175.3,475.4,44548,17.4,38.3,42,45.5
953,382,189.5,488,50303,13.8,41.8,43.8,53.7
293,134,178.9,404.4,43687,18.5,38.1,40,54
209,102,170.6,368.5,42081,14.7,43.1,45.1,53.6
54,29,213.7,439.1,39539,17.6,49.5,50.2,52.1
421,157,184.9,505,47882,15.3,39.9,43,54.9
323,131,181.9,459,43186,15.6,42.2,44.6,55.9
385,168,188.2,431.5,46715,16.5,40.3,42,51.1
1490,494,157,463.9,62861,14.3,32.3,34.6,44.3
10411,3927,197.9,528.7,41434,24.1,36.1,39.2,38.1
212,84,199.2,528.4,39807,19,40.3,43,54.3
1962.667684,50,164.1,453.5494221,40676,14.9,52.7,53.4,61.2
1962.667684,497,167.9,453.5494221,70868,7.6,37.2,38.7,54.4
1962.667684,86,189.3,453.5494221,51116,14.6,42,42.9,57.6
1962.667684,79,162.6,453.5494221,43706,18.5,31.8,34.7,44.2
1962.667684,63,155.3,453.5494221,52531,13.6,35.3,35.6,50.6
489,169,182.1,532.7,51576,16.6,38.2,40.5,46.3
418,159,171.5,472.2,55047,11.6,45.8,47.9,49.3
282,100,181.4,522,48357,13.8,35.7,36.4,42.2
320,116,160.7,461,45860,14.4,45.7,47,47.8
1662,569,164.8,486.7,70925,10.2,40.1,42.4,48.7
6146,2183,183.3,544.1,50134,15.2,38.4,42.3,44.3
255,97,164.5,463.7,50182,12,44,48.1,50.5
274,105,180.9,466.4,45704,18.5,37.5,43.2,45
354,134,183.4,504.2,45409,17.8,41.4,44.4,49.3
388,141,181.6,520.5,52410,12,41.4,43.9,52.8
338,128,187.3,505.7,52597,11.1,43.4,46.7,48.2
45,17,194.2,526.9,49137,11.4,51.7,52.7,42.7
404,134,150.9,480.7,44148,16.5,40.9,44,50.1
554,196,177,500.8,49781,15.1,30.5,33.6,53.5
11217,3824,153.8,452.3,47547,23.4,32.8,35.8,40.1
154,59,173.6,470.1,47542,14.3,40.4,42.3,56
345,133,172,462.2,49920,14.7,39.5,41,47.2
428,150,174.2,505.4,51600,11.8,39.3,41.8,46.7
4243,1507,169.5,498.9,51371,14.2,36.5,40.3,44.1
326,115,170.1,511,40923,18.9,39,42.5,44.5
8450,2549,145.8,514.3,98312,6.7,39.6,43,53.2
8072,2584,145.2,463.9,75459,17.7,36.1,37.1,32.9
1385,506,177.1,507.2,49274,13.4,41.5,43.8,47.1
1470,542,173.9,501.5,48350,17.7,39.4,42.9,44
2820,1011,180.4,525.9,52892,16.1,37.1,40.4,44.6
657,228,162.9,484.6,58473,11.5,42.2,44.2,50.8
1860,628,173.6,503.5,69228,13.4,34.9,38.6,49.9
252,95,184.2,495.9,46577,15.5,41,43.3,48.4
34,15,205,459.8,36891,21.9,39,48.3,39.8
828,313,181,477.1,54026,12.7,38.5,41.1,53.7
213,84,177.2,458.4,38130,23.5,34.8,38,45.1
745,288,184.9,459.8,50055,15.3,36.4,38.6,53.5
65,30,205.2,464.6,38928,22.2,42.5,48,51.6
298,119,182.2,462.5,46073,18.5,36,39.9,49.2
398,150,194,524.4,35991,22.1,39.9,43.9,44
412,147,165.7,460.5,49676,16,41.1,42.7,57.7
279,107,181.8,483.7,37881,17.6,40.9,45,50
243,93,161.4,440,37884,18.1,46.4,50.9,58.1
117,42,143.7,416.2,38445,19.9,42.4,45.9,54.3
164,61,177,491.5,35930,19.7,43.5,46.9,47.2
3590,1216,158.6,451,59049,15.2,33.4,35.6,45.3
105,45,180.9,450.3,36795,19.2,44.8,47.7,55.7
154,54,153.3,447.6,38530,21.1,39.7,42.3,48.8
648,240,160.3,483.6,51650,15.5,42.8,46.5,55.8
511,215,189,452.5,43348,18.2,39.2,42.5,45.3
1007,387,164,442.6,49905,18,36.4,39.3,45.8
145,61,189.9,452.7,32063,25.8,44.2,49.7,38.6
588,206,179.9,477.5,47201,14.3,24.6,29,54.5
540,183,157.3,436.7,60304,14.1,32.7,33.9,45.2
107,33,151.3,499.4,43097,17.9,47.8,51.3,55.1
214,93,203.9,473.4,44596,18.8,35.5,39.7,47.1
298,112,169.8,463.5,45453,15.4,41.6,42.9,51.7
82,33,159.5,400,41328,17.1,46.8,48.4,56.7
230,98,198.1,477.8,45841,18.7,41.5,43.4,47.6
689,255,171.8,457.6,41765,23.4,30.3,32.5,39.6
144,58,156.1,423.9,45464,14.7,48.9,53.4,56.1
823,293,177.5,502.3,41770,16.7,39.7,41.4,52.9
265,113,205.3,490.6,34665,24.7,38,40.8,43.4
554,253,193,409.6,30414,33.1,33.8,36.6,39.2
622,237,194.3,520.3,39606,19.4,41.8,44.6,49.1
822,315,189.8,508.1,44973,18,38.8,41.5,49.1
401,163,174.8,443.9,35629,21.5,41.9,45,50.4
333,136,183.6,454.3,33876,29,38,40.3,45.3
203,80,189.6,487.8,32782,28.9,36.8,40.9,38.9
370,138,180.6,495.6,41921,16.5,40.6,42.9,51.5
280,114,184.5,460.9,45065,13.8,44.2,45.4,56
453,196,198.1,481.1,37915,18.9,40.4,44.2,54.4
93,39,215.3,516.6,34788,19.3,40.1,41.3,49.5
225,85,137,396.8,44490,16.2,48.6,52.8,57.1
24,13,222.3,431,32773,28.3,41.8,49.3,42.5
783,273,158.6,429.7,64381,10.8,36.3,38.2,59.4
257,106,198.5,490.4,33609,27,37.6,41.4,37.7
3500,1126,155.3,451.4,66950,11.5,34.3,36.1,51.6
132,57,185.4,447.7,33869,22.8,44,48.2,41.7
83,33,167.9,453.6,32867,26.8,44.6,45.3,45.2
207,69,136,414,41942,26.2,28,31.4,38.9
611,258,191.3,458.6,36890,23.3,34.4,39.1,45.5
404,173,183.5,441.2,33398,23.4,42.6,45,55.6
431,193,199.1,452.4,39268,23.9,38.2,41.4,44.8
219,89,179.7,449.1,40801,17.2,41.5,44.1,53.1
134,49,178.6,512.6,35974,20.6,45,47.8,59.5
17,6,140,405.2,45710,10.2,46.1,49.8,66.7
76,31,173.1,479.1,52376,10.3,41.1,43.9,58
32,12,169.9,462.9,39342,29.9,31.2,30.9,41.4
43,19,174.1,430.4,56965,9.7,42.5,48.4,60.2
22,12,209.3,472.9,60946,7.4,43.4,44,63.2
14,5,166.8,448.3,62875,8.3,34.3,38.8,60.5
